Versicherer;Kanton;Geschäftsjahr;Durchschnittsbestand
1577;FR;2016;3935.2768
1577;GE;2016;195.7914
1577;GL;2016;43.7721
1577;GR;2016;209.9777
1577;JU;2016;55.99990001
1577;LU;2016;338.7333
1577;NE;2016;1697.942
1577;NW;2016;18.48890002
1577;OW;2016;16.41100002
1577;SG;2016;19319.8818
1577;SH;2016;63.08619996
1577;SO;2016;16136.3648
1577;SZ;2016;180.047
1577;TG;2016;5816.145
1577;TI;2016;22.25259999
1577;UR;2016;14.04439999
1577;VD;2016;620.1411
1577;VS;2016;6838.3295
1577;ZG;2016;109.1996
1577;ZH;2016;4148.0008
